id,smiles,inchiKey,parentGroupLabel,reactionStep,functionalGroup,stoichiometry,uff_energy,mmff_energy
6449,c1ccc(S(=O)(=O)O)c(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)c(S(=O)(=O)O)c(c4)S(=O)(=O)O,XCCBUBRKLCNKCE-UHFFFAOYSA-N,12,1,SO3H,C16H10S6O14,136.1826652,-241.3112965
6452,O=S(=O)(O)c1c(S(=O)(=O)O)c(S(=O)(=O)O)cc(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)c(S(=O)(=O)O)c(S(=O)(=O)O)c4S(=O)(=O)O,XEKGKLZWDGRETJ-UHFFFAOYSA-N,12,1,SO3H,C16H10S9O23,187.4464093,-562.8454365
6459,O=S(=O)(O)c1cc(S(=O)(=O)O)c(S(=O)(=O)O)c(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)c(S(=O)(=O)O)cc4S(=O)(=O)O,XKZWUFRGHAPOHD-UHFFFAOYSA-N,12,1,SO3H,C16H10S8O20,166.036121,-342.9805498
6463,O=S(=O)(O)c(c1)c(S(=O)(=O)O)cc(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)c(cc4)S(=O)(=O)O,XNWGUUVSTCZDGC-UHFFFAOYSA-N,12,1,SO3H,C16H10S6O14,131.5999161,-235.3415573
6464,c1cc(S(=O)(=O)O)cc(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)ccc4S(=O)(=O)O,XPZGZOZIAANYER-UHFFFAOYSA-N,12,1,SO3H,C16H10S5O11,122.2421096,-76.03615068
6465,c1cc(S(=O)(=O)O)cc(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)ccc4,XQRJLHJDMXSOFU-UHFFFAOYSA-N,12,1,SO3H,C16H10S4O8,113.8595278,-26.55365512
6467,O=S(=O)(O)c(c1)cc(S(=O)(=O)O)c(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)c(cc4)S(=O)(=O)O,XRUKXZUUHPQWRV-UHFFFAOYSA-N,12,1,SO3H,C16H10S6O14,130.0369842,-179.9170248
6472,O=S(=O)(O)c(c1)c(S(=O)(=O)O)cc(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)cc(S(=O)(=O)O)c4S(=O)(=O)O,XWPHAFKUZFDYQC-UHFFFAOYSA-N,12,1,SO3H,C16H10S7O17,145.8213496,-283.6350312
6481,O=S(=O)(O)c1cccc(c12)sc(c2O)-c(c3O)sc(c34)cc(S(=O)(=O)O)c(c4)S(=O)(=O)O,YDIDFPBNQMCAMS-UHFFFAOYSA-N,12,1,SO3H,C16H10S5O11,125.3468255,-140.7279804
6482,O=S(=O)(O)c1c(S(=O)(=O)O)c(S(=O)(=O)O)cc(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)ccc4,YDUYKBVCABIUPN-UHFFFAOYSA-N,12,1,SO3H,C16H10S6O14,145.3120119,-248.4350547
6487,c1cccc(c12)sc(c2O)-c(c3O)sc(c34)cccc4S(=O)(=O)O,YJJNKHJEPNXHDF-UHFFFAOYSA-N,12,1,SO3H,C16H10S3O5,110.5025369,-0.68489986
6489,c1cccc(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)ccc4,YLOMXXWAZNAOIR-UHFFFAOYSA-N,12,1,SO3H,C16H10S3O5,107.6627483,7.026780994
6498,O=S(=O)(O)c1cccc(c12)sc(c2O)-c(c3O)sc(c34)ccc(c4)S(=O)(=O)O,YUQDVMCVDROHPB-UHFFFAOYSA-N,12,1,SO3H,C16H10S4O8,116.5518938,-33.09724763
6512,O=S(=O)(O)c1cc(S(=O)(=O)O)cc(c12)sc(c2O)-c(c3O)sc(c34)cc(S(=O)(=O)O)c(S(=O)(=O)O)c4S(=O)(=O)O,ZKFLRGYESPRQQP-UHFFFAOYSA-N,12,1,SO3H,C16H10S7O17,151.0471233,-296.7261556
6516,O=S(=O)(O)c1cc(S(=O)(=O)O)cc(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)cc(c4)S(=O)(=O)O,ZMMPSRJVYNGPBZ-UHFFFAOYSA-N,12,1,SO3H,C16H10S6O14,132.4598449,-124.2517877
6517,O=S(=O)(O)c(c1)ccc(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)cc(c4)S(=O)(=O)O,ZMRCSMYIYYDCFI-UHFFFAOYSA-N,12,1,SO3H,C16H10S5O11,116.9056098,-66.27000244
6523,c1ccc(S(=O)(=O)O)c(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)cc(c4)S(=O)(=O)O,ZUYWSACKNXSXDV-UHFFFAOYSA-N,12,1,SO3H,C16H10S5O11,119.517462,-76.36301557
6527,O=S(=O)(O)c1cccc(c12)sc(c2O)-c(c3O)sc(c34)c(S(=O)(=O)O)ccc4S(=O)(=O)O,ZZMOVGMGWOIGNN-UHFFFAOYSA-N,12,1,SO3H,C16H10S5O11,125.4938037,-90.46365619
5185,Fc1c(F)cc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)cc4F,AOCPKZKRCKTKCT-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.67143352,29.15715798
5188,c1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)c(F)cc4F,AUOWBMMKZFSHSF-FOCLMDBBSA-N,12,0,F,C16H2S2O2F6,80.66359237,52.87968825
5191,Fc1cccc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4F,AVOQWDHQRDJFGK-FOCLMDBBSA-N,12,0,F,C16H6S2O2F2,80.23880721,54.40382452
5199,c1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4F,BBXJXQNOKWHFQY-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.30102243,58.76083279
5205,c1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)cc4F,BHLMQCHOAKVFJF-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.23387498,52.21636127
5208,c1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)c(F)c(F)c4,BJUXWLLPYUYDTB-FOCLMDBBSA-N,12,0,F,C16H2S2O2F6,80.36351808,63.18075889
5212,Fc1ccc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)ccc(F)c4,BOTCUPAGKHSTSB-FOCLMDBBSA-N,12,0,F,C16H5S2O2F3,80.10427027,50.73091855
